Ackermannviridae	Aggregaviridae	Aliceevansviridae	Alisviridae	Andersonviridae	Arenbergviridae	Asemoviridae	Assiduviridae	Atkinsviridae	Autolykiviridae	Autonotataviridae	Autoscriptoviridae	Autosignataviridae	Autotranscriptaviridae	Berryhillviridae	Blumeviridae	Casidaviridae	Casjensviridae	Chaseviridae	Chimalliviridae	Colingsworthviridae	Connertonviridae	Corticoviridae	Crevaviridae	Demerecviridae	Drexlerviridae	Duinviridae	Duneviridae	Ehrlichviridae	Epsomviridae	Felixviridae	Fiersviridae	Finnlakeviridae	Forsetiviridae	Fredfastierviridae	Grimontviridae	Guelinviridae	Helgolandviridae	Herelleviridae	Hodgkinviridae	Inoviridae	Intestiviridae	Jeanschmidtviridae	Kleczkowskaviridae	Konodaiviridae	Kruegerviridae	Kyanoviridae	Lakviridae	Lindbergviridae	Ludisviridae	Madridviridae	Matsushitaviridae	Mazoviaviridae	Mestraviridae	Mesyanzhinovviridae	Microviridae	Mktvariviridae	Molycolviridae	Naomviridae	Nixviridae	Obscuriviridae	Orlajensenviridae	Pachyviridae	Parnassusviridae	Paulinoviridae	Peduoviridae	Pervagoviridae	Plasmaviridae	Plectroviridae	Pootjesviridae	Rountreeviridae	Saffermanviridae	Salasmaviridae	Sarkviridae	Schitoviridae	Solspiviridae	Stackebrandtviridae	Stanwilliamsviridae	Steigviridae	Steitzviridae	Straboviridae	Suoliviridae	Tectiviridae	Toyamaviridae	Trautnerviridae	Umezonoviridae	Vandenendeviridae	Vilmaviridae	Winoviridae	Zierdtviridae	Zobellviridae
PHROG_379				PHROG_2210	PHROG_624													PHROG_18131	PHROG_3239		PHROG_9351			PHROG_1491	PHROG_12751				PHROG_1075					PHROG_16416				PHROG_1127				PHROG_1745	PHROG_877	PHROG_30437	PHROG_3207	PHROG_298	PHROG_1017	PHROG_4900	PHROG_17519			PHROG_3313				PHROG_7832	PHROG_25979	PHROG_15971				PHROG_19216				PHROG_31716			PHROG_358				PHROG_17193				PHROG_9427			PHROG_430						PHROG_3360	PHROG_3547		PHROG_13455	
PHROG_420				PHROG_2267	PHROG_931													PHROG_18403	PHROG_3241		PHROG_9385			PHROG_1607	PHROG_17368				PHROG_1086					PHROG_16435				PHROG_1133				PHROG_1770	PHROG_986	PHROG_34745	PHROG_3534	PHROG_358	PHROG_1086	PHROG_5165	PHROG_19572			PHROG_3314				PHROG_8294	PHROG_26111	PHROG_20898				PHROG_19295				PHROG_34748			PHROG_429				PHROG_31307				PHROG_9440			PHROG_464						PHROG_3506	PHROG_3760		PHROG_13496	
PHROG_429				PHROG_2652	PHROG_938													PHROG_18523	PHROG_3242		PHROG_9690			PHROG_1725	PHROG_34481				PHROG_1185					PHROG_16463				PHROG_1151				PHROG_2072	PHROG_1040		PHROG_3895	PHROG_375	PHROG_1198		PHROG_19606			PHROG_3853				PHROG_8339	PHROG_29238	PHROG_25404				PHROG_19366				PHROG_37590			PHROG_438				PHROG_33703				PHROG_9487			PHROG_505						PHROG_3899	PHROG_3777		PHROG_13499	
PHROG_430				PHROG_2874	PHROG_1192													PHROG_19855	PHROG_3245		PHROG_9704			PHROG_1745					PHROG_1198					PHROG_16480				PHROG_1205				PHROG_2259	PHROG_1198		PHROG_3963	PHROG_385	PHROG_1238		PHROG_20501			PHROG_3987				PHROG_8591	PHROG_36119	PHROG_26466				PHROG_19566							PHROG_456				PHROG_38225				PHROG_9507			PHROG_543						PHROG_3900	PHROG_3856		PHROG_13959	
PHROG_464				PHROG_2993	PHROG_1198													PHROG_21735	PHROG_3248		PHROG_9914			PHROG_1827					PHROG_1211					PHROG_16487				PHROG_1240				PHROG_2319	PHROG_1211		PHROG_4158	PHROG_395	PHROG_1272		PHROG_20732			PHROG_4051				PHROG_8771	PHROG_38014	PHROG_32459				PHROG_19568							PHROG_473				PHROG_38319				PHROG_9616			PHROG_548						PHROG_3948	PHROG_4413		PHROG_13965	
PHROG_531				PHROG_3303	PHROG_1250														PHROG_3254		PHROG_10417			PHROG_2162					PHROG_1297					PHROG_16503				PHROG_1321				PHROG_2913	PHROG_1238		PHROG_5536	PHROG_402	PHROG_1297		PHROG_21416			PHROG_4088				PHROG_9013						PHROG_19705							PHROG_543								PHROG_9645			PHROG_551						PHROG_4025	PHROG_4464		PHROG_14019	
PHROG_543				PHROG_3358	PHROG_1297														PHROG_3265		PHROG_13044			PHROG_2210					PHROG_1314					PHROG_16522				PHROG_1394				PHROG_3230	PHROG_1297		PHROG_6007	PHROG_407	PHROG_1314		PHROG_21917			PHROG_4147				PHROG_9296						PHROG_19724							PHROG_551								PHROG_9721			PHROG_562						PHROG_4087	PHROG_4870		PHROG_14117	
PHROG_547				PHROG_3436	PHROG_1314														PHROG_3284		PHROG_14173			PHROG_2502					PHROG_1374					PHROG_16555				PHROG_1917				PHROG_4271	PHROG_1314		PHROG_6090	PHROG_417	PHROG_1383		PHROG_25200			PHROG_4211				PHROG_9477						PHROG_19735							PHROG_634								PHROG_9818			PHROG_592						PHROG_4103	PHROG_5775		PHROG_14298	
PHROG_551				PHROG_3500	PHROG_1460														PHROG_3289		PHROG_16537			PHROG_2855					PHROG_1383					PHROG_16563				PHROG_4008				PHROG_4771	PHROG_1322		PHROG_6650	PHROG_431	PHROG_1460		PHROG_26422			PHROG_4412				PHROG_9955						PHROG_20023							PHROG_652								PHROG_9983			PHROG_600						PHROG_4172	PHROG_5872		PHROG_14384	
PHROG_600				PHROG_3623	PHROG_1918														PHROG_3293					PHROG_3359					PHROG_1423					PHROG_16737				PHROG_9690				PHROG_6452	PHROG_1394		PHROG_6831	PHROG_432	PHROG_1649		PHROG_28300			PHROG_4645				PHROG_10305						PHROG_20117							PHROG_1183								PHROG_10025			PHROG_609						PHROG_4233	PHROG_5917		PHROG_14439	
PHROG_631				PHROG_3721	PHROG_2072														PHROG_3294					PHROG_3498					PHROG_1460									PHROG_15361				PHROG_8233	PHROG_1649		PHROG_7225	PHROG_438	PHROG_1740		PHROG_31303			PHROG_4915				PHROG_10314						PHROG_20294							PHROG_1259								PHROG_10030			PHROG_612						PHROG_4256	PHROG_5963		PHROG_14599	
PHROG_639				PHROG_3840	PHROG_2076														PHROG_3295					PHROG_3611					PHROG_1479									PHROG_21388				PHROG_8578	PHROG_1990		PHROG_7609	PHROG_440	PHROG_1818		PHROG_35295			PHROG_5251				PHROG_10640						PHROG_20415							PHROG_1649								PHROG_10127			PHROG_622						PHROG_4323	PHROG_6206		PHROG_15206	
PHROG_652				PHROG_3877	PHROG_2197														PHROG_3315					PHROG_3696					PHROG_1649													PHROG_8593	PHROG_2072		PHROG_7690	PHROG_445	PHROG_1880					PHROG_5523				PHROG_10643						PHROG_20842							PHROG_1740								PHROG_10194			PHROG_626						PHROG_4349	PHROG_12221		PHROG_16405	
PHROG_679				PHROG_3931	PHROG_2389														PHROG_3328					PHROG_3712					PHROG_1740													PHROG_8676	PHROG_2143		PHROG_8952	PHROG_451	PHROG_1918					PHROG_5830				PHROG_10819						PHROG_20868							PHROG_1794								PHROG_10359			PHROG_639						PHROG_4625	PHROG_18272		PHROG_16947	
PHROG_735				PHROG_3970	PHROG_2640														PHROG_3337					PHROG_3725					PHROG_1815													PHROG_9417	PHROG_2426		PHROG_10015	PHROG_452	PHROG_2087					PHROG_6123				PHROG_10984						PHROG_20973							PHROG_1818								PHROG_10376			PHROG_652						PHROG_5019	PHROG_21649			
PHROG_800				PHROG_3977	PHROG_3041														PHROG_3430					PHROG_3747					PHROG_1818													PHROG_9528	PHROG_2470		PHROG_10250	PHROG_455	PHROG_2244					PHROG_6211				PHROG_11161						PHROG_21474							PHROG_2072								PHROG_10447			PHROG_679						PHROG_5041				
PHROG_804				PHROG_3987	PHROG_3084														PHROG_3455					PHROG_3779					PHROG_1880													PHROG_9807	PHROG_2488		PHROG_10563	PHROG_459	PHROG_2450					PHROG_6344				PHROG_11370						PHROG_22602							PHROG_2086								PHROG_10465			PHROG_717						PHROG_5067				
PHROG_839				PHROG_3995	PHROG_3339														PHROG_3520					PHROG_3802					PHROG_1918													PHROG_10186	PHROG_2658		PHROG_11681	PHROG_460	PHROG_2475					PHROG_6611				PHROG_11427						PHROG_23224							PHROG_2426								PHROG_10474			PHROG_735						PHROG_5336				
PHROG_858				PHROG_4007	PHROG_3483														PHROG_4067					PHROG_3880					PHROG_1933													PHROG_10343	PHROG_2971		PHROG_12609	PHROG_461	PHROG_2488					PHROG_7383				PHROG_11641						PHROG_23366							PHROG_2470								PHROG_10504			PHROG_739						PHROG_5388				
PHROG_926				PHROG_4017	PHROG_3545														PHROG_4585					PHROG_3889					PHROG_2062													PHROG_10444	PHROG_3503		PHROG_13730	PHROG_468	PHROG_2835					PHROG_8012				PHROG_11811						PHROG_24532							PHROG_2488								PHROG_10610			PHROG_755						PHROG_5447				
PHROG_1224				PHROG_4034	PHROG_3987														PHROG_4733					PHROG_3890					PHROG_2087													PHROG_10487	PHROG_3715		PHROG_13892	PHROG_470	PHROG_3339					PHROG_8238				PHROG_12130						PHROG_26311							PHROG_2643								PHROG_10730			PHROG_802						PHROG_5822				
PHROG_1247				PHROG_4036	PHROG_4029														PHROG_4795					PHROG_3907					PHROG_2107													PHROG_10537	PHROG_3869		PHROG_14446	PHROG_471	PHROG_3462					PHROG_8651				PHROG_12154						PHROG_33037							PHROG_2855								PHROG_10853			PHROG_812						PHROG_5847				
PHROG_1383				PHROG_4038	PHROG_4042														PHROG_5038					PHROG_3914					PHROG_2164													PHROG_10794	PHROG_4053		PHROG_14639	PHROG_473	PHROG_3649					PHROG_11167				PHROG_12176						PHROG_36024							PHROG_3633								PHROG_10952			PHROG_832						PHROG_6076				
PHROG_1510				PHROG_4039	PHROG_4256														PHROG_32359					PHROG_3987					PHROG_2170													PHROG_10854	PHROG_4243		PHROG_15197	PHROG_475	PHROG_3668					PHROG_11315				PHROG_12230													PHROG_3754								PHROG_10994			PHROG_839						PHROG_6266				
PHROG_1550				PHROG_4040	PHROG_4339																			PHROG_4053					PHROG_2244													PHROG_10876	PHROG_4499		PHROG_15317	PHROG_480	PHROG_3754					PHROG_13983				PHROG_12507													PHROG_3891								PHROG_11101			PHROG_858						PHROG_6310				
PHROG_1578				PHROG_4082	PHROG_4542																			PHROG_4215					PHROG_2470													PHROG_10910	PHROG_4828		PHROG_16701	PHROG_481	PHROG_3869					PHROG_15503				PHROG_12612													PHROG_4212								PHROG_11111			PHROG_860						PHROG_6391				
PHROG_1735				PHROG_4109	PHROG_4593																			PHROG_4227					PHROG_2475													PHROG_11016	PHROG_5359		PHROG_17896	PHROG_483	PHROG_4243					PHROG_15770				PHROG_12675													PHROG_4254								PHROG_11183			PHROG_910						PHROG_7141				
PHROG_1934				PHROG_4114	PHROG_4871																			PHROG_4243					PHROG_2488													PHROG_11098	PHROG_5698		PHROG_22100	PHROG_484	PHROG_4245					PHROG_19047				PHROG_12698													PHROG_4848								PHROG_11349			PHROG_931						PHROG_30939				
